Matchday,Date,Time,Location,Home Team,Away Team,Home Goals,Away Goals,Result,Geri Home Goals Predicted,Geri Away Goals Predicted,Geri Result Predicted,Andreas Home Goals Predicted,Andreas Away Goals Predicted,Andreas Result Predicted,Johnny Home Goals Predicted,Johnny Away Goals Predicted,Johnny Result Predicted,Gerd Home Goals Predicted,Gerd Away Goals Predicted,Gerd Result Predicted,Samson Home Goals Predicted,Samson Away Goals Predicted,Samson Result Predicted,Moddy Home Goals Predicted,Moddy Away Goals Predicted,Moddy Result Predicted,Hermann Home Goals Predicted,Hermann Away Goals Predicted,Hermann Result Predicted
6,30/09/2023,13:30,Volkswagen Arena,WOB,SGE,2,0,Home Win,1,2,Away Win,1,0,Home Win,2,1,Home Win,2,1,Home Win,1,3,Away Win,2,1,Home Win,2,1,Home Win
6,30/09/2023,16:30,Red Bull Arena,RBL,FCB,2,2,Tie,3,1,Home Win,1,3,Away Win,2,2,Tie,2,1,Home Win,2,4,Away Win,2,3,Away Win,2,3,Away Win
6,01/10/2023,13:30,Merck-Stadion am Böllenfalltor,D98,SVW,4,2,Home Win,0,1,Away Win,0,2,Away Win,1,2,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,1,Tie
6,01/10/2023,15:30,Europa-Park Stadion,SCF,FCA,2,0,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,3,0,Home Win
7,06/10/2023,18:30,BORUSSIA-PARK,BMG,M05,2,2,Tie,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win
7,07/10/2023,13:30,Mercedes-Benz Arena,VFB,WOB,3,1,Home Win,2,2,Tie,3,2,Home Win,2,1,Home Win,2,0,Home Win,4,1,Home Win,1,2,Away Win,2,2,Tie
7,07/10/2023,13:30,WWK ARENA,FCA,D98,1,2,Away Win,2,1,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win,1,2,Away Win,2,1,Home Win,1,1,Tie
7,07/10/2023,13:30,Red Bull Arena,RBL,BOC,0,0,Tie,3,1,Home Win,4,0,Home Win,3,0,Home Win,4,0,Home Win,3,1,Home Win,5,0,Home Win,4,0,Home Win
7,07/10/2023,13:30,SIGNAL IDUNA PARK,BVB,1. FC Union Berlin,4,2,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
7,07/10/2023,16:30,wohninvest WESERSTADION,SVW,TSG,2,3,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win
7,08/10/2023,13:30,BayArena,B04,KOE,3,0,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,0,Home Win,3,0,Home Win,1,3,Away Win,2,2,Tie
7,08/10/2023,15:30,Allianz Arena,FCB,SCF,3,0,Home Win,3,1,Home Win,5,0,Home Win,3,1,Home Win,3,0,Home Win,2,2,Tie,4,1,Home Win,3,1,Home Win
7,08/10/2023,17:30,Deutsche Bank Park,SGE,HDH,2,0,Home Win,2,1,Home Win,1,1,Tie,2,1,Home Win,2,0,Home Win,2,0,Home Win,3,0,Home Win,2,1,Home Win
8,20/10/2023,18:30,SIGNAL IDUNA PARK,BVB,SVW,1,0,Home Win,2,1,Home Win,3,0,Home Win,3,1,Home Win,3,1,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win
8,21/10/2023,13:30,Merck-Stadion am Böllenfalltor,D98,RBL,1,3,Away Win,1,3,Away Win,0,4,Away Win,1,3,Away Win,0,2,Away Win,0,4,Away Win,1,3,Away Win,0,2,Away Win
8,21/10/2023,13:30,PreZero Arena,TSG,SGE,1,3,Away Win,1,1,Tie,2,1,Home Win,2,1,Home Win,1,1,Tie,1,1,Tie,2,2,Tie,1,1,Tie
8,21/10/2023,13:30,Volkswagen Arena,WOB,B04,1,2,Away Win,1,3,Away Win,1,2,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,2,3,Away Win,1,2,Away Win
8,21/10/2023,13:30,Europa-Park Stadion,SCF,BOC,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win
8,21/10/2023,13:30,An der Alten Försterei,1. FC Union Berlin,VFB,0,3,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
8,21/10/2023,16:30,MEWA ARENA,M05,FCB,1,3,Away Win,1,3,Away Win,0,3,Away Win,1,3,Away Win,0,3,Away Win,0,4,Away Win,2,4,Away Win,0,5,Away Win
8,22/10/2023,13:30,RheinEnergieSTADION,KOE,BMG,3,1,Home Win,2,2,Tie,1,2,Away Win,2,1,Home Win,1,1,Tie,1,2,Away Win,2,1,Home Win,2,1,Home Win
8,22/10/2023,15:30,Voith-Arena,HDH,FCA,2,5,Away Win,2,2,Tie,2,2,Tie,2,1,Home Win,2,2,Tie,1,0,Home Win,1,2,Away Win,2,1,Home Win
9,27/10/2023,18:30,Vonovia Ruhrstadion,BOC,M05,2,2,Tie,1,2,Away Win,2,2,Tie,2,1,Home Win,0,1,Away Win,2,1,Home Win,1,2,Away Win,3,1,Home Win
9,28/10/2023,13:30,Mercedes-Benz Arena,VFB,TSG,2,3,Away Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,1,2,Away Win,3,1,Home Win
9,28/10/2023,13:30,WWK ARENA,FCA,WOB,3,2,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,2,1,Home Win,0,2,Away Win,2,2,Tie,1,1,Tie
9,28/10/2023,13:30,wohninvest WESERSTADION,SVW,1. FC Union Berlin,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
9,28/10/2023,13:30,BORUSSIA-PARK,BMG,HDH,2,1,Home Win,1,0,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,2,1,Home Win
9,28/10/2023,13:30,Allianz Arena,FCB,D98,8,0,Home Win,3,0,Home Win,5,0,Home Win,4,0,Home Win,5,1,Home Win,5,0,Home Win,5,0,Home Win,5,1,Home Win
9,28/10/2023,16:30,Red Bull Arena,RBL,KOE,6,0,Home Win,2,1,Home Win,3,0,Home Win,2,2,Tie,3,1,Home Win,2,2,Tie,1,3,Away Win,3,2,Home Win
9,29/10/2023,14:30,Deutsche Bank Park,SGE,BVB,3,3,Tie,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,2,3,Away Win,2,2,Tie,1,2,Away Win
9,29/10/2023,16:30,BayArena,B04,SCF,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,4,2,Home Win,3,2,Home Win,3,0,Home Win
10,03/11/2023,19:30,Merck-Stadion am Böllenfalltor,D98,BOC,1,2,Away Win,2,1,Home Win,1,1,Tie,2,1,Home Win,1,0,Home Win,1,2,Away Win,1,2,Away Win,2,1,Home Win
10,04/11/2023,14:30,PreZero Arena,TSG,B04,2,3,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,3,Away Win,1,4,Away Win,1,3,Away Win,2,2,Tie
10,04/11/2023,14:30,RheinEnergieSTADION,KOE,FCA,1,1,Tie,2,1,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win,1,3,Away Win,3,1,Home Win,3,1,Home Win
10,04/11/2023,14:30,MEWA ARENA,M05,RBL,2,0,Home Win,0,3,Away Win,0,4,Away Win,1,3,Away Win,1,3,Away Win,0,3,Away Win,2,1,Home Win,0,3,Away Win
10,04/11/2023,14:30,Europa-Park Stadion,SCF,BMG,3,3,Tie,2,1,Home Win,2,1,Home Win,3,1,Home Win,2,0,Home Win,2,2,Tie,2,2,Tie,1,2,Away Win
10,04/11/2023,14:30,An der Alten Försterei,1. FC Union Berlin,SGE,0,3,Away Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win,1,0,Home Win
10,04/11/2023,17:30,SIGNAL IDUNA PARK,BVB,FCB,0,4,Away Win,1,2,Away Win,1,5,Away Win,2,2,Tie,2,1,Home Win,2,4,Away Win,2,2,Tie,2,4,Away Win
10,05/11/2023,14:30,Volkswagen Arena,WOB,SVW,2,2,Tie,2,1,Home Win,3,0,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,1,3,Away Win,2,1,Home Win
10,05/11/2023,16:30,Voith-Arena,HDH,VFB,2,0,Home Win,1,2,Away Win,1,3,Away Win,1,2,Away Win,1,3,Away Win,0,3,Away Win,1,2,Away Win,1,2,Away Win
11,10/11/2023,19:30,BORUSSIA-PARK,BMG,WOB,4,0,Home Win,2,2,Tie,1,1,Tie,2,1,Home Win,0,1,Away Win,2,1,Home Win,0,1,Away Win,2,1,Home Win
11,11/11/2023,14:30,Merck-Stadion am Böllenfalltor,D98,M05,0,0,Tie,1,0,Home Win,1,2,Away Win,0,1,Away Win,1,2,Away Win,2,2,Tie,1,3,Away Win,0,2,Away Win
11,11/11/2023,14:30,Mercedes-Benz Arena,VFB,BVB,2,1,Home Win,1,2,Away Win,2,3,Away Win,0,1,Away Win,1,2,Away Win,2,3,Away Win,1,3,Away Win,1,3,Away Win
11,11/11/2023,14:30,WWK ARENA,FCA,TSG,1,1,Tie,1,2,Away Win,0,0,Tie,1,2,Away Win,1,2,Away Win,0,1,Away Win,3,1,Home Win,1,2,Away Win
11,11/11/2023,14:30,Allianz Arena,FCB,HDH,4,2,Home Win,4,1,Home Win,5,0,Home Win,3,0,Home Win,4,0,Home Win,6,0,Home Win,6,0,Home Win,6,0,Home Win
11,11/11/2023,17:30,Vonovia Ruhrstadion,BOC,KOE,1,1,Tie,1,2,Away Win,2,2,Tie,1,2,Away Win,1,1,Tie,1,3,Away Win,1,3,Away Win,2,1,Home Win
11,12/11/2023,14:30,BayArena,B04,1. FC Union Berlin,4,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
11,12/11/2023,16:30,wohninvest WESERSTADION,SVW,SGE,2,2,Tie,1,2,Away Win,2,2,Tie,1,1,Tie,1,2,Away Win,1,2,Away Win,2,3,Away Win,2,2,Tie
11,12/11/2023,18:30,Red Bull Arena,RBL,SCF,3,1,Home Win,2,1,Home Win,4,0,Home Win,2,1,Home Win,2,1,Home Win,3,3,Tie,2,1,Home Win,3,1,Home Win
12,24/11/2023,19:30,RheinEnergieSTADION,KOE,FCB,0,1,Away Win,1,3,Away Win,0,5,Away Win,1,3,Away Win,1,3,Away Win,1,5,Away Win,2,2,Tie,1,5,Away Win
12,25/11/2023,14:30,wohninvest WESERSTADION,SVW,B04,0,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,0,3,Away Win,1,3,Away Win,1,4,Away Win
12,25/11/2023,14:30,Volkswagen Arena,WOB,RBL,2,1,Home Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,2,Away Win,1,3,Away Win,2,2,Tie,1,2,Away Win
12,25/11/2023,14:30,Europa-Park Stadion,SCF,D98,1,1,Tie,2,0,Home Win,4,1,Home Win,2,1,Home Win,3,1,Home Win,2,0,Home Win,2,1,Home Win,2,1,Home Win
12,25/11/2023,14:30,An der Alten Försterei,1. FC Union Berlin,FCA,1,1,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
12,25/11/2023,14:30,SIGNAL IDUNA PARK,BVB,BMG,4,2,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,3,1,Home Win,2,2,Tie
12,25/11/2023,17:30,Deutsche Bank Park,SGE,VFB,1,2,Away Win,1,1,Tie,1,2,Away Win,2,2,Tie,2,0,Home Win,2,3,Away Win,2,1,Home Win,2,2,Tie
12,26/11/2023,14:30,Voith-Arena,HDH,BOC,0,0,Tie,2,1,Home Win,2,2,Tie,2,1,Home Win,1,1,Tie,1,1,Tie,1,2,Away Win,1,1,Tie
12,26/11/2023,16:30,PreZero Arena,TSG,M05,1,1,Tie,2,1,Home Win,3,2,Home Win,2,1,Home Win,2,0,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win
13,01/12/2023,19:30,Merck-Stadion am Böllenfalltor,D98,KOE,0,1,Away Win,1,2,Away Win,1,0,Home Win,1,2,Away Win,1,2,Away Win,1,2,Away Win,1,3,Away Win,1,2,Away Win
13,02/12/2023,14:30,Vonovia Ruhrstadion,BOC,WOB,3,1,Home Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,2,Away Win,1,1,Tie,1,3,Away Win,1,1,Tie
13,02/12/2023,14:30,BORUSSIA-PARK,BMG,TSG,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,2,Tie,1,2,Away Win,3,1,Home Win,2,2,Tie
13,02/12/2023,14:30,Red Bull Arena,RBL,HDH,2,1,Home Win,2,0,Home Win,4,2,Home Win,2,0,Home Win,2,0,Home Win,4,1,Home Win,2,1,Home Win,4,0,Home Win
13,02/12/2023,17:30,Mercedes-Benz Arena,VFB,SVW,2,0,Home Win,2,1,Home Win,4,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,2,Tie,3,0,Home Win
13,03/12/2023,14:30,MEWA ARENA,M05,SCF,0,1,Away Win,1,2,Away Win,1,1,Tie,1,2,Away Win,1,1,Tie,1,3,Away Win,2,1,Home Win,1,1,Tie
13,03/12/2023,16:30,BayArena,B04,BVB,1,1,Tie,1,2,Away Win,3,3,Tie,2,1,Home Win,2,2,Tie,2,3,Away Win,2,2,Tie,3,2,Home Win
13,03/12/2023,18:30,WWK ARENA,FCA,SGE,2,1,Home Win,1,2,Away Win,0,0,Tie,1,2,Away Win,0,2,Away Win,1,2,Away Win,1,2,Away Win,0,1,Away Win
13,24/01/2024,19:30,Allianz Arena,FCB,1. FC Union Berlin,1,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
14,08/12/2023,19:30,PreZero Arena,TSG,BOC,3,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,0,1,Away Win,2,0,Home Win,3,1,Home Win,2,1,Home Win
14,09/12/2023,14:30,Voith-Arena,HDH,D98,3,2,Home Win,1,0,Home Win,3,1,Home Win,2,1,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,1,1,Tie
14,09/12/2023,14:30,wohninvest WESERSTADION,SVW,FCA,2,0,Home Win,2,1,Home Win,2,2,Tie,2,1,Home Win,1,2,Away Win,0,2,Away Win,1,2,Away Win,1,1,Tie
14,09/12/2023,14:30,Volkswagen Arena,WOB,SCF,0,1,Away Win,1,2,Away Win,2,1,Home Win,2,1,Home Win,1,1,Tie,1,2,Away Win,2,1,Home Win,3,1,Home Win
14,09/12/2023,14:30,Deutsche Bank Park,SGE,FCB,5,1,Home Win,1,3,Away Win,1,5,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win
14,09/12/2023,14:30,An der Alten Försterei,1. FC Union Berlin,BMG,3,1,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
14,09/12/2023,17:30,SIGNAL IDUNA PARK,BVB,RBL,2,3,Away Win,2,1,Home Win,1,1,Tie,2,1,Home Win,2,1,Home Win,3,2,Home Win,2,2,Tie,3,2,Home Win
14,10/12/2023,14:30,Mercedes-Benz Arena,VFB,B04,1,1,Tie,1,2,Away Win,1,2,Away Win,1,3,Away Win,2,2,Tie,1,2,Away Win,1,3,Away Win,2,3,Away Win
14,10/12/2023,16:30,RheinEnergieSTADION,KOE,M05,0,0,Tie,1,0,Home Win,0,1,Away Win,2,1,Home Win,1,0,Home Win,3,1,Home Win,3,0,Home Win,3,1,Home Win
15,15/12/2023,19:30,BORUSSIA-PARK,BMG,SVW,2,2,Tie,2,1,Home Win,1,1,Tie,2,1,Home Win,2,0,Home Win,1,2,Away Win,3,1,Home Win,3,1,Home Win
15,16/12/2023,14:30,Merck-Stadion am Böllenfalltor,D98,WOB,0,1,Away Win,0,1,Away Win,0,2,Away Win,1,2,Away Win,2,2,Tie,1,2,Away Win,1,3,Away Win,0,2,Away Win
15,16/12/2023,14:30,WWK ARENA,FCA,BVB,1,1,Tie,1,2,Away Win,1,3,Away Win,2,3,Away Win,2,3,Away Win,2,4,Away Win,1,2,Away Win,1,2,Away Win
15,16/12/2023,14:30,Vonovia Ruhrstadion,BOC,1. FC Union Berlin,3,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
15,16/12/2023,14:30,MEWA ARENA,M05,HDH,0,1,Away Win,1,1,Tie,2,1,Home Win,2,1,Home Win,2,0,Home Win,0,1,Away Win,2,0,Home Win,1,1,Tie
15,16/12/2023,17:30,Red Bull Arena,RBL,TSG,3,1,Home Win,2,0,Home Win,2,1,Home Win,2,1,Home Win,1,0,Home Win,2,2,Tie,2,1,Home Win,3,1,Home Win
15,17/12/2023,14:30,Europa-Park Stadion,SCF,KOE,2,0,Home Win,1,0,Home Win,1,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,1,3,Away Win,2,1,Home Win
15,17/12/2023,16:30,BayArena,B04,SGE,3,0,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,3,1,Home Win,2,0,Home Win,4,1,Home Win
15,17/12/2023,18:30,Allianz Arena,FCB,VFB,3,0,Home Win,2,1,Home Win,4,1,Home Win,2,1,Home Win,2,1,Home Win,2,3,Away Win,5,2,Home Win,3,1,Home Win
16,19/12/2023,17:30,wohninvest WESERSTADION,SVW,RBL,1,1,Tie,1,2,Away Win,1,1,Tie,1,2,Away Win,1,2,Away Win,0,3,Away Win,1,2,Away Win,0,1,Away Win
16,19/12/2023,19:30,PreZero Arena,TSG,D98,3,3,Tie,2,0,Home Win,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,0,Home Win,2,0,Home Win,0,1,Away Win
16,19/12/2023,19:30,SIGNAL IDUNA PARK,BVB,M05,1,1,Tie,2,1,Home Win,2,0,Home Win,2,0,Home Win,2,1,Home Win,3,1,Home Win,3,1,Home Win,0,1,Away Win
16,20/12/2023,17:30,An der Alten Försterei,1. FC Union Berlin,KOE,2,0,Home Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
16,20/12/2023,19:30,Voith-Arena,HDH,SCF,3,2,Home Win,1,1,Tie,2,1,Home Win,1,2,Away Win,1,3,Away Win,0,2,Away Win,1,2,Away Win,2,2,Tie
16,20/12/2023,19:30,Mercedes-Benz Arena,VFB,FCA,3,0,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,0,Home Win,3,0,Home Win,2,2,Tie,4,1,Home Win
16,20/12/2023,19:30,Volkswagen Arena,WOB,FCB,1,2,Away Win,1,3,Away Win,1,2,Away Win,1,3,Away Win,0,2,Away Win,1,4,Away Win,1,3,Away Win,2,3,Away Win
16,20/12/2023,19:30,Deutsche Bank Park,SGE,BMG,2,1,Home Win,2,1,Home Win,0,0,Tie,2,1,Home Win,2,1,Home Win,1,1,Tie,2,2,Tie,3,1,Home Win
16,20/12/2023,19:30,BayArena,B04,BOC,4,0,Home Win,3,0,Home Win,4,0,Home Win,3,0,Home Win,3,0,Home Win,2,0,Home Win,4,1,Home Win,4,0,Home Win
17,12/01/2024,19:30,Allianz Arena,FCB,TSG,3,0,Home Win,3,1,Home Win,6,1,Home Win,3,1,Home Win,3,1,Home Win,3,0,Home Win,4,1,Home Win,3,2,Home Win
17,13/01/2024,14:30,WWK ARENA,FCA,B04,0,1,Away Win,1,3,Away Win,1,2,Away Win,1,4,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win,1,3,Away Win
17,13/01/2024,14:30,RheinEnergieSTADION,KOE,HDH,1,1,Tie,1,1,Tie,1,1,Tie,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win,2,1,Home Win
17,13/01/2024,14:30,MEWA ARENA,M05,WOB,1,1,Tie,1,1,Tie,1,2,Away Win,0,1,Away Win,2,1,Home Win,0,2,Away Win,2,3,Away Win,1,1,Tie
17,13/01/2024,14:30,Europa-Park Stadion,SCF,1. FC Union Berlin,0,0,Tie,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win,0,1,Away Win
